,,Dec-01,Dec-01,Dec-02,Dec-02,Dec-03,Dec-03,Dec-04,Dec-04,Dec-05,Dec-05,Dec-06,Dec-06,Dec-07,Dec-07,Dec-08,Dec-08,Dec-09,Dec-09,Dec-10,Dec-10,Dec-11,Dec-11,Dec-12,Dec-12,Dec-13,Dec-13,Dec-14,Dec-14,Dec-15,Dec-15,Dec-16,Dec-16,Dec-17,Dec-17,Dec-18,Dec-18,Dec-19,Dec-19,Dec-20,Dec-20,Dec-21,Dec-21,Dec-22,Dec-22,Dec-23,Dec-23,Dec-24,Dec-24,Dec-25,Dec-25,Dec-26,Dec-26,Dec-27,Dec-27,Dec-28,Dec-28,Dec-29,Dec-29,Dec-30,Dec-30,Dec-31,Dec-31
Product ID,Brand,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units
ITEM8897,Apple,1693,2,7596,9,844,1,8436,10,2533,3,7819,9,7594,9,5063,6,3375,4,3375,4,5907,7,7594,9,2531,3,8438,10,4219,5,4219,5,4219,5,5907,7,3375,4,1672,2,8362,10,3345,4,4172,5,7509,9,8969,11,6569,9,5109,7,11678,16,5109,7,5109,7,4172,5
ITEM7663,Mango,3335,23,2320,16,1305,9,2030,14,1015,7,1305,9,3335,23,2030,14,2465,17,3335,23,3625,25,1015,7,2320,16,1740,12,1740,12,2900,20,1740,12,3625,25,2175,15,1885,13,1450,10,2465,17,2900,20,5220,36,2175,15,2175,15,1885,13,2160,16,2430,18,2835,21,2900,20
ITEM4672,Apple,2368,5,3249,7,928,2,464,1,928,2,928,2,928,2,1392,3,928,2,2321,5,464,1,464,1,0,0,0,0,3249,7,464,1,928,2,1392,3,2785,6,1392,3,464,1,1402,3,0,0,455,1,0,0,0,0,0,0,0,0,2083,5,1667,4,0,0
ITEM8886,Orange,501,3,1877,11,1583,9,1209,7,1416,8,1837,11,1543,9,1002,6,132,1,668,4,334,2,1042,6,2545,15,1381,8,501,3,2124,12,668,4,2164,12,1209,7,2004,12,1543,9,1427,8,1682,9,1464,8,2394,13,2354,13,2038,11,3146,17,2354,13,1820,10,1682,9
ITEM2329,Mango,0,0,0,0,2197,3,1596,4,2394,6,1995,5,3192,8,1596,4,1995,5,2495,5,3591,9,3990,10,1995,5,2394,6,2793,7,2394,6,3990,10,2394,6,1596,4,2793,7,1995,5,1995,5,1596,4,4389,11,1197,3,0,0,3596,4,399,1,798,2,859,1,1596,4
ITEM8933,Apple,891,1,1860,2,1783,2,1783,2,2674,3,912,1,891,1,891,1,1783,2,1783,2,891,1,2537,3,846,1,1691,2,0,0,846,1,1691,2,1691,2,846,1,1672,2,0,0,836,1,901,1,1801,2,901,1,1889,2,944,1,910,1,910,1,910,1,901,1
ITEM6354,Apple,0,0,1798,2,2697,3,2697,3,1798,2,0,0,0,0,0,0,844,1,5907,7,3375,4,3375,4,2531,3,4219,5,1688,2,1688,2,2531,3,1688,2,1672,2,836,1,1680,2,853,1,10846,13,5840,7,5840,7,4172,5,5840,7,4882,6,8864,11,5641,7,10846,13
ITEM7861,Orange,8058,42,8138,42,5870,30,8625,45,7531,39,7044,36,4885,25,9506,50,7995,41,6248,32,8367,43,7374,38,7576,40,8790,46,10106,52,8506,44,8665,45,8436,44,6687,35,7831,39,8138,42,7740,40,2170,10,5385,25,3215,15,3344,16,3633,17,2966,14,4011,19,1712,8,2170,10
ITEM2852,Lemon,3365,11,2360,8,4505,15,2775,9,3620,12,2735,9,2145,7,4465,15,2735,9,2065,7,4130,14,3660,12,3580,12,1810,6,4290,14,2520,8,3995,13,3190,10,3245,11,2440,8,1730,6,1435,5,0,0,0,0,598,2,6657,23,4783,17,5152,18,7075,25,5830,20,0,0
ITEM4931,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,2,359,1,0,0,0,0,0,0
ITEM3252,Orange,16450,33,15769,32,19212,39,24138,49,21245,43,22283,45,20197,41,17734,36,20197,41,24138,49,24631,50,13793,28,17242,35,14778,30,17734,36,15271,31,24631,50,22660,46,23645,48,23153,47,27094,55,38441,78,43964,91,50245,104,31403,65,30437,63,34785,72,29631,60,27586,56,21182,43,43964,91
ITEM8353,Orange,10994,13,10291,12,11979,14,9447,11,4221,5,2477,3,12878,15,11190,13,7649,9,6916,8,12878,15,9282,11,11868,14,13666,16,10181,12,8438,10,5907,7,5063,6,5876,7,5853,7,7526,9,6690,8,5840,7,6674,8,5006,6,10846,13,5840,7,6769,8,10969,13,5907,7,5840,7
ITEM3405,Lemon,9087,13,6291,9,6990,10,8388,12,7689,11,7689,11,9087,13,11184,16,11883,17,12582,18,11883,17,11883,17,10784,16,16874,26,12980,20,15856,24,15576,24,13629,21,15576,24,18172,28,11033,17,17523,27,22066,34,16225,25,14927,23,18172,28,20119,31,23750,38,20000,32,13750,22,22066,34
ITEM2248,Apple,17132,41,23400,56,30086,72,17132,41,18804,45,16714,40,12536,30,20475,49,21729,52,24236,58,21311,51,19222,46,15880,38,11282,27,18804,45,13372,32,11282,27,13789,33,13372,32,11700,28,15461,37,15879,38,14625,35,16297,39,16714,40,17132,41,10447,25,8775,21,9193,22,11282,27,14625,35
ITEM6460,Lemon,227,1,0,0,359,2,0,0,0,0,362,2,0,0,179,1,179,1,179,1,0,0,179,1,179,1,0,0,0,0,179,1,0,0,538,3,179,1,172,1,0,0,172,1,170,1,170,1,340,2,0,0,0,0,402,2,0,0,170,1,170,1
ITEM5159,Mango,21600,160,19035,141,18495,137,19170,142,15930,118,19049,141,20250,150,20115,149,17955,133,20115,149,9720,72,675,5,2295,17,945,7,24030,178,29685,216,34830,258,27540,204,26190,194,27270,202,23909,177,32940,244,32265,239,25785,191,20250,150,10530,78,8259,61,27369,212,30187,234,27994,217,32265,239
ITEM7691,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM8733,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM5211,Mango,877,3,767,3,1196,4,837,3,877,3,957,3,1156,4,1196,4,3348,12,279,1,558,2,837,3,2073,7,558,2,1714,6,1395,5,1116,4,279,1,279,1,279,1,1668,8,185,1,764,4,804,4,613,3,1560,8,925,5,1110,6,1375,7,1190,6,764,4
ITEM1965,Mango,10148,12,5228,6,6806,8,8548,10,15358,18,14441,17,10126,12,16087,19,5118,6,10969,13,14400,17,12823,15,10199,12,16253,19,9447,11,10291,12,8548,10,7815,9,10166,12,10996,13,12606,15,11059,13,7573,9,9307,11,9053,11,12958,19,13147,19,19374,28,13147,19,11071,16,7573,9
ITEM2083,Lemon,10472,17,6776,11,7629,12,7392,12,8394,16,6120,10,11767,23,8697,17,17394,34,9209,18,9720,19,14730,29,7181,14,12600,25,11592,23,12883,31,11152,31,10072,28,13310,37,10792,30,11871,33,12950,36,17986,50,15109,42,14749,41,15828,44,19785,55,14749,41,14749,41,14389,40,17986,50
ITEM9903,Lemon,0,0,632,2,0,0,0,0,316,1,632,2,672,2,632,2,316,1,1304,4,316,1,672,2,632,2,712,2,1620,5,672,2,316,1,2252,7,632,2,0,0,672,2,948,3,0,0,0,0,0,0,1896,6,316,1,672,2,316,1,1304,4,0,0
ITEM2624,Lemon,0,0,0,0,0,0,538,2,0,0,0,0,309,1,0,0,0,0,0,0,269,1,0,0,269,1,0,0,0,0,0,0,0,0,0,0,1216,4,0,0,309,1,0,0,269,1,269,1,0,0,0,0,269,1,0,0,0,0,-267,-1,269,1
ITEM6480,Apple,0,0,244,1,488,2,244,1,0,0,488,2,244,1,0,0,812,3,772,3,0,0,488,2,0,0,0,0,244,1,0,0,0,0,0,0,244,1,244,1,732,3,0,0,0,0,0,0,0,0,732,3,732,3,732,3,732,3,0,0,0,0
ITEM5846,Mango,2716,4,3395,5,2037,3,2037,3,2037,3,4753,7,4074,6,4074,6,1358,2,2037,3,2716,4,3395,5,2007,3,4543,7,7788,12,3245,5,5841,9,2596,4,5192,8,5192,8,3894,6,6490,10,9735,15,12331,19,5192,8,9086,14,5192,8,8985,15,11381,19,7787,13,9735,15
